id,name,serving_size,calories,protein_g,sodium_mg,fat_g,carbs_g,source
"147609078","","",62.269932883635605,0.542099415709312,1.3922984993397438,3.8687958300981116,8.202991158574962,"raw"
"147609080","","",14.299984587056192,0.5257994332779123,9.89998932950044,0.5499994071944689,2.1999976287778757,"raw"
"147609084","","",157.8498298648126,2.742897043624925,63.07843201221147,0,37.847059207326886,"raw"
"147609087","","",232.46583886148437,4.093666723365652,61.48437942960821,10.931564324998583,30.0618018937461,"raw"
"147609090","","",133.80960480807394,0,8.924420252877473,0,30.356636616204568,"raw"
"147609093","","",1378.91968,13.7891968,207.1611363,0,331.4793637,"raw"
"147609096","","",249.47559994133334,4.535919998933333,90.71839997866667,13.6077599968,28.349499993333332,"raw"
"147609099","","",113.39797017633384,2.267959403526677,85.04847763225038,7.937857912343369,19.27765492997675,"raw"
"147609102","","",19.919978529661492,0,0,0.7559991851618518,3.15599659837408,"raw"
"147609107","","",49.46994667983705,0.9099990191763032,0.9999989221717617,0.14999983832576425,12.539986484033891,"raw"
"147609110","","",88.66990442897011,1.0899988251672204,0.9999989221717617,0.3299996443166814,22.839975382403036,"raw"
"147609113","","",52.40994351102203,0.47999948264244563,0.9999989221717617,0.14999983832576425,13.759985169083441,"raw"
"147609116","","",52.099943845148786,0.259999719764658,0.9999989221717617,0.16999981676919948,13.80998511519203,"raw"
"147609123","","",115.466096021121,4.048308599864,184.495711043802,3.691104899876,17.116010624425,"raw"
"147609127","","",206.2369426,13.326079368,265.331758845,11.6206584965,14.1589593285,"raw"
"147609129","","",110.395844649,2.5772246955,187.5709797615,7.136929926,11.0169275445,"raw"
"147609132","","",376.102327185,39.8036902325,340.4586425825,12.5745624725,27.98549242,"raw"
"147609135","","",491.647801805363,42.092770609603,395.375167766271,14.631743939862,46.439882939562,"raw"
"147609138","","",519.21542259578,48.107400529609,121.437351209013,11.319388359908,52.290652749575,"raw"
"147609144","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609147","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609150","","",4.876113999991041,0.68038799999875,2.2679599999958335,0,0.5216307999990417,"raw"
"147609151","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609156","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609159","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609162","","",4.876113999991041,0.68038799999875,2.2679599999958335,0,0.5216307999990417,"raw"
"147609164","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609171","","",103.93490956511879,2.4777456483528946,9.321313148494642,0.9922322390429211,21.80075976640018,"raw"
"147609173","","",146.7998417748146,2.6679971243542604,319.99965509496377,0.6679992800107368,29.331968385142115,"raw"
"147609176","","",87.99990515111503,2.399997413212228,29.99996766515285,2.7999969820809327,13.199985772667254,"raw"
"147609180","","",55.59194008137258,0.07399992024071037,6.399993101899275,0.013999984910404663,13.771985156149503,"raw"
"147609183","","",150.79983746350166,2.6679971243542604,146.66784191708794,0,34.99996227601166,"raw"
"147609185","","",100.34629184381647,0.11899987173843965,1.539998340144513,11.355387760829222,0.008399990946242799,"raw"
"147609189","","",139.99984910404663,0.999598922602893,134.99905449405009,6.999992455202332,19.00077952040121,"raw"
"147609191","","",77.39991657609436,0.45599950851032334,127.27186282264445,1.8179980405082627,16.364982361340882,"raw"
"147609194","","",257.98044996966667,7.015083774175166,585.4171749311666,5.9533949993,52.58832249381667,"raw"
"147609198","","",152.99983509227954,1.6999981676919949,390.9995785691588,5.949993586921982,23.79997434768793,"raw"
"147609200","","",336.43463738085666,6.764992708491968,4.499995149772928,0.9299989976197384,72.80992152332597,"raw"
"147609204","","",168.31981857995092,6.735992739748987,134.7358547777345,13.475185476048923,5.894393646849232,"raw"
"147609207","","",260.9571474693167,2.4805812497083335,434.10171869895834,6.2014531242708335,0,"raw"
"147609213","","",929.8633554459375,5.805976073028293,988.6035039972785,14.537619776605998,197.7207007994557,"raw"
"147609216","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609219","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609221","","",,,,,,"raw"
"147609224","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609228","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609234","","",,,,,,"raw"
"147609237","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609240","","",,,,,,"raw"
"147609244","","",2.1772416,0,6.80388,0,0.680388,"raw"
"147609254","","",143.59984522386497,3.075996684600339,256.4117236319058,0.511999448151942,34.87196241397368,"raw"
"147609256","","",143.19984565499627,6.791992679390606,75.4719186541472,2.2639975597968687,28.679969087886125,"raw"
"147609261","","",51.99994395293161,0.7999991377374094,75.99991808505389,0,11.599987497192435,"raw"
"147609264","","",255.999724075971,7.999991377374093,319.99965509496377,4.799994826424456,47.999948264244566,"raw"
"147609267","","",135.99985341535958,1.703998163380682,161.70382571086256,0,31.487966061344434,"raw"
"147609273","","",171.5998150446743,1.9039979478150344,190.47579469958848,4.759994869537586,30.47596715210661,"raw"
"147609281","","",111.13003999989792,2.1092027999980627,15.7850015999855,0,26.829966799975356,"raw"
"147609285","","",120.20187999988958,0,16.669505999984686,0,29.347402399973042,"raw"
"147609288","","",0,0,74.902,0,0,"raw"
"147609290","","",,,,,,"raw"
"147609294","","",149.6,0,34.986,0,38.998,"raw"
"147609299","","",118.16071599989147,0,4.5359199999958335,0.7711063999992916,27.78250999997448,"raw"
"147609303","","",111.13003999989792,0.5216307999995209,10.523334399990333,0,26.829966799975356,"raw"
"147609308","","",113.82888246300391,7.484266031638033,106.59409196575382,4.49055961898282,10.88620513692805,"raw"
"147609313","","",110.04139025911437,8.91308045585984,131.54164540454727,2.653512502126212,12.519135907467255,"raw"
"147609320","","",149.6,0,29.988,0,41.004,"raw"
"147609322","","",85.04849999003322,0,163.36115878085582,0,21.296144397504317,"raw"
"147609326","","",,,,,,"raw"
"147609331","","",,,,,,"raw"
"147609335","","",,,,,,"raw"
"147609347","","",226.79594035266769,4.535918807053354,260.81533140556786,3.4019391052900154,45.359188070533534,"raw"
"147609353","","",28.92,1.1,2,0.3,9.32,"raw"
"147609356","","",115.46181323354313,7.892498724272835,117.93388898338719,4.3544820547712195,11.271758235527583,"raw"
"147609359","","",34.89539037251233,0.8873391166298124,17.29319045189091,2.9455122753302714,1.3409309973351478,"raw"
"147609363","","",,,,,,"raw"
"147609368","","",86.18531495,0.0850485,1.13398,0,23.359988,"raw"
